   Start1     Start2    Length
  1432744    1798128        28
  1432744    1806844r       28
  1432744    1844416        28
  1432744    1801131r       28
   901507    1432744        28
   623270    1432744        28
  1432744    1841436        28
  1432744    1495994        28
  1432744    1503954        28
  1249443    1432744        28
  1432744    1775044r       28
   830612    1432744        28
   465409    1432744        28
   247449    1432744        28
   108747    1845322r       28
   108747    1214694        28
   108747     960683        28
   108747     337056r       28
   108747     123335        28
   108747    1794681        28
   108747    1776432        28
   108747    1876100r       28
   108747     706732        28
   108747     891835        28
    66355     108747        28
   108747    1203918        28
   108747     387398r       28
   108747     237365        28
    41969     108747        28
   332957     472307r       38
  1156401    1500754        38
  1500754    1689606        38
  1036363    1500754        38
   332957    1500754        38
  1155485    1306822r       28
  1035447    1306822r       28
   332041    1306822r       28
   332041     574533r       28
  1155485    1156401        28
  1035447    1156401        28
   332041    1156401        28
  1155485    1689606        28
  1035447    1689606        28
   332041    1689606        28
  1036363    1155485        28
  1035447    1036363        28
   332041    1036363        28
   332957    1155485        28
   332957    1035447        28
   332041     332957        28
   744953     745073        93
   744713     745073        81
  1043968    1473677r      176
  1043968    1676415r      176
  1043968    1958018r      176
   188045    1473677r      160
   188045    1676415r      160
   188045    1958018r      160
  1043968    1511460       142
  1511460    1702565r      142
   188045    1511460       142
   188045     688804r       71
   188045     918192r       71
   418768    1043968        71
   418768    1702565r       71
   188045     418768        71
   323679     502279       307
   323679    1184837r      307
   323679     733890r      307
    96098     323679       307
    96098     437677r      224
   594432    1932729        29
   594432    1581446r       29
   594432    1506220        29
   594432    1303089r       29
   594432    1554507r       29
   594432    1262174r       29
   594432    1963254r       29
   363623     594432        29
   609728     699843        31
   286514    1925647r      425
   286514     355351r      425
   286514     910413       425
   286514     698348       274
   521872    1453408r       31
   830553    1250986        40
   960624    1250986        39
   853213    1250986        39
  1250986    1776373        39
  1250986    1556362        39
   465350    1250986        39
   308804    1250986        39
  1250986    1979669        34
  1250986    1806903r       33
  1250986    1416513        33
  1119382    1250986        33
   310238    1250986        33
  1250986    1440499r       29
  1250986    1979793r       29
  1250986    1251108r       29
   306946    1250986        29
  1250986    1844357        28
  1325653    1559893r       60
  1267008    1325653        60
  1325653    1794622        60
    66296    1325653        60
   516552    1325653        59
   516552     631056r       58
    66296     631056r       58
   706673    1325653        37
  1249384    1325653        34
   348953     545922r       27
  1043859    1473786r       27
   187936    1473786r       27
  1043859    1958127r       27
   187936    1958127r       27
  1076079    1310106       103
  1310106    1583521r      103
  1310106    1888500       103
   293697    1310106       103
  1076079    1939900r       86
  1888500    1939900r       86
   293697    1939900r       86
  1310106    1492037r       68
  1487785    1939900r       68
  1310106    1487785        68
   477913    1924286r       34
   477913    1271962r       34
   477913    1707998r       34
   129841     477913        34
   430097    1522785        65
   202386    1522785        65
   202386     218712r       65
   430097    1178411        65
   202386    1178411        65
   413053    1257960        39
  1185166    1684447r       44
   734219    1684447r       44
  1185166    1248396        27
   734219    1248396        27
   247469     306989r       51
   222314     306989r       27
   416444    1552063r       67
   366743    1552063r       67
   187283    1552063r       58
   930427    1252911r       52
   389776    1990935       169
   389776    1683362r       59
  1795451    1990935        33
  1445057    1683362r       33
  1445057    1990935        33
  1189386    1683362r       28
  1189386    1990935        28
   347517     566693r       40
   186663     566693r       40
   347517    1354416        40
  1354416    1700060        40
  1042586    1354416        40
  1354416    1703947r       40
   186663    1354416        40
   171718     347517        28
   171718    1700060        28
   171718    1042586        28
   171718    1703947r       28
   171718     186663        28
   168510    1871724r       60
   168510    1162649        60
  1356035    1473296r      241
  1044349    1473296r      241
   349443    1473296r      241
  1356035    1676034r      241
  1044349    1676034r      241
   349443    1676034r      241
  1044349    1302005r      145
   349443    1302005r      145
  1934899    1957637r      137
  1356035    1957637r       47
  1044349    1957637r       47
   349443    1957637r       47
  1647640    1682412        77
   609208    1772889r       50
   646648    1772889r       40
   479408    1855140        75
   479408     781786        75
   846948    1317896r       68
   178953    1317896r       68
   149804    1317896r       68
   829609    1317896r       61
  1027440    1317896r       28
   452658    1908341r       73
   452658     754356        71
   519880     754356        64
   519880    1908341r       64
   519880    1890280r       54
   452658    1890280r       54
   519880    1840982r       43
   452658    1840982r       43
   519880     982463        41
   452658     982463        41
   129452    1193538r      149
   129452     368725r      149
   129452    1234539r      149
   129452    1687813r      149
   129452     138110r      149
   129452     354379r      149
   129452    1298993       149
   129452    1569595       149
   129452    1324377r      149
   129452     273749r      149
   129452    1930372       149
   129452     911385       149
   129452     699320       149
   129452    1924675r       62
   129452    1720958        62
   129452     288731        62
   211029    1239462r       56
    49682    1557977r       47
   435116    1799454r       31
   923367    1134687r       32
   693365    1134687r       32
   173981    1134687r       32
   135638     779609r       44
    45067     135638        44
   706743     998534r       48
   891846     998534r       48
    66366     998534r       48
   237376     998534r       36
    87209     998534r       36
   396923     998534r       36
    41980     998534r       36
   960694     998534r       35
   123346     998534r       35
   516622     998534r       32
   673686    1674280        80
   122062    1674280        80
   673686    1745417        56
   122062    1745417        56
   673686    1265831        56
   122062    1265831        56
   672471    1744202       110
   120847    1744202       110
   672471    1264616       110
   120847    1264616       110
   672471     774046        43
   120847     774046        43
   672471    1673065        29
   120847    1673065        29
  1320664    1851512        32
  1468287    1755044r       49
  1252658    1885227r       95
   785458    1885227r       95
   493116    1885227r       69
  1151042    1885227r       69
  1031004    1885227r       69
   327598    1885227r       69
  1496935    1885227r       42
   270178    1885227r       39
   697870    1498858r       41
   123957     923833        83
   466605    1039899r       81
   571075    1159902r       81
   466605     571075        81
   123957    1039899r       71
   123957     571075        71
   923833    1159902r       71
   466605     923833        71
   571075    1685818r       54
   923833    1685818r       54
   571075    1581650        54
   923833    1581650        54
   571075    1585224r       54
   923833    1585224r       54
   571075    1932525r       54
   923833    1932525r       54
   571075    1746077        54
   923833    1746077        54
   571075    1872871        54
   923833    1872871        54
   571075    1479116        54
   923833    1479116        54
   142144    1039899r       54
   142144     571075        54
   142144     923833        54
   776890    1205764r       29
   675318    1205764r       29
   498488    1205764r       29
   285317    1205764r       29
  1143738    1316491r       40
   871166    1316491r       40
   794140    1316491r       40
   336527    1316491r       40
   267065    1316491r       40
   746694    1896758        53
   746694    1077543r       34
   746694    1887374        34
   746694     884913        34
   746694    1054613r       34
   404668     746694        34
   746694     853025r       32
   746694    1559519r       32
   746694     953232        32
   746694    1685911        30
  1445199    1991077        48
  1845483    1991077        35
  1189527    1991077        35
   389918    1845483        27
   389918     720631r       27
   389918     887805r       27
   389918     825789r       27
   389918    1565282r       27
   389918    1718745r       27
   389918    1186805r       27
   389918    1445199        27
   389918    1189527        27
   515801    1393794r       43
   515801    1741323        43
   102391     515801        43
   515801    1290396r       43
   515801    1392483        43
   515801    1399063r       43
   515801     905470r       43
   515801    1175198r       43
   515801    1519572r       43
   515801     669754r       43
   515801    1586763r       43
   515801    1997308        43
   515801    1561879        43
   515801     624618        43
   397429     515801        43
   515801    1046330r       43
   515801    1936880r       43
   515801    1955656        43
   515801    1471315        43
   515801     915830        43
   515801     686442        43
   515801     683500r       43
   515801     888731        43
   512258     515801        43
    63661     515801        43
  1058908    1478369        93
  1478369    1872135        42
  1478369    1553974        42
   902393    1135484        56
  1135484    1772847        43
   822442    1772847        29
   822442     902393        29
   728844    1293293r       37
  1325182    1810080        54
   274554    1810080        54
   848826    1810080        49
   510595     907135r      131
   193604     907135r      131
   510595    1176863r      131
   193604    1176863r      131
   510595    1521237r      131
   193604    1521237r      131
   912676    1588428r       82
   912676    1640563        82
   510595     912676        82
   193604     912676        82
   510595    1400728r       44
   193604    1400728r       44
  1300284    1588428r       44
  1300284    1640563        44
   510595    1300284        44
   193604    1300284        44
  1640563    1755155r       32
   510595    1755155r       32
   193604    1755155r       32
  1640563    1858788        32
   510595    1858788        32
   193604    1858788        32
   193604     199272r       32
  1640563    1953992        32
   510595    1953992        32
   193604    1953992        32
  1640563    1738692        32
   510595    1738692        32
   193604    1738692        32
  1468176    1755155r       30
  1468176    1858788        30
  1468176    1953992        30
  1468176    1738692        30
  1300284    1468176        30
   912676    1468176        30
  1468176    1521237r       30
   325286     579313r     1320
   325286    1148736       277
   325286    1028698       277
   325286    1887606r      158
   325286    1999309r      114
   325286     932990r       58
   399560    1111679r       34
  1486538    1884135        86
   472512    1884135        80
   145117    1884135        44
  1147311    1884135        40
  1722761    1884135        40
   290534    1884135        40
  1147311    1582789        29
  1582789    1722761        29
   290534    1582789        29
  1486538    1582789        29
   472512    1582789        29
   145117    1582789        29
  1027016    1663348        62
  1663348    1987950        49
  1663348    1840074        41
  1196170    1786583r       40
  1027016    1786583r       40
  1196170    1663348        40
   971437    1215063r       28
   971437    1196170        28
   971437    1840074        28
   971437    1987950        28
   971437    1027016        28
  1663525    1844879r       67
   971610    1844879r       67
   846698     871418r       75
   829358     998082        44
   829358    1318148r       44
   829358    1543115        44
   829358     846698        44
   149552     871418r       38
   149552     829358        38
   285717    1649770r       38
    53185     345195        47
  1317960    1663713r       37
  1317960    1325975        37
  1317960    1543303r       31
   960959    1317960        31
  1317960    1800855r       29
   901782    1317960        29
  1194887    1317960        29
   737566    1317960        29
   516886    1317960        29
  1317960    1593665        28
   876148    1317960        27
   652523    1716885        29
  1513115    1865596r       29
  1168777    1865596r       29
   420423    1865596r       29
   714656     870918r       27
   149949     870918r       27
   179098     610619r       28
   179098     610909        28
   909373    1726487        73
   909373    1710402r       73
   909373    1631548        73
   580540    1844945r       33
   580540    1204301        31
   902208    1332576        89
  1332576    1889678        52
  1332576    1715086r       45
   131468     216641r      150
   131468    1180482       150
   131468     432167       132
   131468     506970r      132
   131468     204457       132
   131468    1636937r      114
   131468    1293561r       75
   131468    1948803r       75
   131468    1524857        75
   728576     781805r       33
   728576    1855159r       33
   432167     781805r       27
   204457     781805r       27
  1524857    1855159r       27
   432167    1855159r       27
   204457    1855159r       27
  1180482    1855159r       27
   131468    1735072r       27
   131468     728576        27
   456408    1931459r       63
   456408    1253685r       63
   456408    1964643        63
   456408    1684728r       56
   456408    1747203        42
   456408    1480278        42
   456408    1582677        29
   960730    1876053r       42
   123382     149969r       45
   123382     610929r       37
   123382    1876053r       37
   123382     714676r       37
    66402    1665450r       46
   891882    1665450r       43
   706779    1665450r       36
   610599     960730        33
   123382     610599        33
   960730    1543532r       29
   123382    1543532r       29
   610599    1665450r       29
   706779     960730        29
   960730    1195914r       29
   891882     960730        29
   960730    2008112r       29
   960730    1801084r       29
    66402     960730        29
    66402     337009r       29
   123382     706779        29
   123382    1195914r       29
   123382     891882        29
   123382    2008112r       29
   123382    1801084r       29
    66402     123382        29
   545268    1810259        49
   872005    1810259        41
   195570    1515221        36
   195570    1170847        36
   195570     422565        36
   933625    1286791r      118
   933625    1189790       118
   148176    1028063r      106
   933625    1991340       106
   148176     933625       106
    15931    1028063r       96
    15931     933625        96
   933625    1840850        61
   933625    1312362        61
   390181    1028063r       58
   390181     933625        58
   933625    1310830        55
   933625    1076814        47
   933625    1889234        39
   182808    1028063r       39
   182808     933625        39
   933625    1967698r       38
   594042    1028063r       38
   594042     933625        38
   933625    1972132        28
   821281    1028063r       28
   821281     933625        28
   544687     754720r       58
  1233743    1271151r      214
  1233743    1271555       135
   136410     324757r       73
   870797     891781        66
   875817     891781        46
   891781    1636423        46
   610497     891781        46
   891781     998599r       46
   240443     891781        46
   891781    2008213r       46
   891781     952391        46
   891781    1077169        46
   891781    1841382        46
   891781    1876154r       46
   237311     891781        46
   142407     891781        46
   141964     891781        45
   891781    1254214r       32
   891781    1543607r       32
   891781    1665525r       31
   737234     891781        31
   891781     999662r       30
   891781    1053850r       30
   439353     891781        30
    93010     891781        28
    52208     891781        28
  1467322    1524795r       48
  1467322    1948865        48
  1293623    1467322        37
  1467322    1636999        37
   507032    1467322        37
   216703    1467322        37
  1467322    1735134        37
   101474    1467322        37
  1467322    1855221        34
   129479    1589692r      362
  1299020    1589692r      122
  1569622    1589692r      122
   911412    1589692r      122
   699347    1589692r      122
   288758    1589692r       35
   572196    1691949r     1017
   467775    1038706r      481
   467775     572196       481
   925075    1038706r      366
   572196     925075       366
   125091    1038706r       75
   572196    1158744r       75
   125091     572196        75
   572196    1783593r       31
  1054371    1634053        68
   778550    1054371        58
   678901    1054371        58
   324473    1054371        58
   503071    1054371        58
  1054371    1184045r       58
  1054371    1528420r       58
  1054371    1945240        58
  1054371    1730549        58
    96890    1054371        58
   257966     887713        32
   139995    1453896       193
   139995    1487579r       82
   139995     362028r       82
   139995     386501r       82
   139995    1874294        82
   139995     788135        82
   139995     690113r       82
   139995    1781856r       82
   139995    1308116        82
   139995    1071222r       82
   139995    1878833r       82
   139995     495661r       82
   139995     856887r       82
   139995     891288r       82
   139995    1664948r       82
   139995     629260        82
   139995    1739900r       82
   139995    1501668        82
   139995     560129        82
   139995     876595        43
   139995    1782271r       42
   139995     559714        42
   524630    1743588        55
   524630    1264002        55
   224143     999047        28
   545318    1568562r       39
   545318    1273384        39
   545318    1269322r       39
   545318    1297960r       39
   545318    1325409        39
   545318    1235571        39
   545318    1719926r       39
   545318    1194570        39
   369756     545318        39
   274781     545318        39
   227816     545318        37
   545318    1709420        28
   545318     676454r       28
   545318    1563210        28
  1235554    1297977r      129
  1194553    1297977r      129
   369739    1297977r      129
   274764    1297977r      129
  1235554    1269339r      127
  1194553    1269339r      127
   369739    1269339r      127
   274764    1269339r      127
  1273367    1297977r       73
   227799    1568579r       54
   227799    1273367        54
   227799    1325392        54
   227799    1235554        54
   227799    1719943r       54
   227799    1194553        54
   227799     369739        54
   227799     274764        54
   227799    1709403        45
   227799     499641r       45
   227799     676471r       45
   227799    1563193        45
   849036    1269339r       37
   849036    1297977r       37
   227799     849036        37
   369739     479609r       30
   274764     479609r       30
   849036    1810292        27
  1709403    1810292        27
  1563193    1810292        27
  1273367    1810292        27
  1325392    1810292        27
  1235554    1810292        27
  1194553    1810292        27
   369739    1810292        27
   274764    1810292        27
   544918    1325009        35
   274381     544918        35
   544918    1720326r       35
   544918     698688r       35
   369355     544918        35
   544918    1568963r       35
   544918    1272983        35
   544918    1590351        35
   544918    1688445        35
   544918     676854r       35
   544918    1562810        35
   544918    1235171        35
   544918    1194170        35
   544918    1269723r       35
   544918    1298361r       35
   544918    1709019        35
   544918    1929740r       35
   544918    1925307        35
   355011     544918        35
   544918     910753r       35
   138742     544918        35
   225515    1998702        89
  1287658    1940046        36
  1940046    1986616        29
   198851    1739114r      158
   198851    1300705r      139
   198851    1640984r      139
   198851     511016r      139
   428121    1954413r      139
   198851     428121       139
  1400306    1640984r      132
   428121    1400306       132
  1400306    1739114r      132
  1520815    1640984r      132
   428121    1520815       132
  1520815    1739114r      132
  1176441    1300705r      132
  1176441    1640984r      132
   428121    1176441       132
  1176441    1739114r      132
   906713    1300705r      132
   906713    1640984r      132
   428121     906713       132
   906713    1739114r      132
  1588006    1640984r      132
   428121    1588006       132
  1588006    1739114r      132
   352667    1300705r      132
   352667    1640984r      132
   352667     511016r      132
   352667     428121       132
   352667    1739114r      132
   906713     913098r      122
   352667     913098r      122
   198851     913098r      122
    60043    1400306        98
    60043    1520815        98
    60043    1176441        98
    60043     906713        98
    60043    1588006        98
    60043     352667        98
    60043    1954413r       98
    60043     198851        98
   428121    1859209r       53
    60043    1859209r       53
  1072228    1485219        53
   698670    1112496r       34
   286836    1112496r       34
   910735    1112496r       34
   676836    1112496r       34
   500007    1112496r       34
   128802    1112496r       34
   459024    1275847r       50
  1397582    1862394r       31
  1472435    1675173        80
   916950    1675173        80
   687562    1675173        80
  1675173    1956776        80
  1675173    1935760r       80
  1675173    1701323        80
   113082    1675173        80
  1639828    1858054        80
   509860    1858054        80
   221988    1858054        29
   892033     901704        27
   892033    1593587        27
   892033    1276818        27
   737488     892033        27
   398355     892033        27
   623464     892033        27
   892033    1027454r       27
   516808     892033        27
   892033     971875r       27
   892033    1663791r       27
   240676     892033        27
   735863    1544490r       27
   439787    1544490r       27
   572453    1783336r      526
   468032    1783336r      224
   925332    1783336r      109
   925332    1253396r       76
   572453    1253396r       76
   468032    1253396r       76
  1447295    1783336r       47
   878946     879153        36
   137320    1687023       463
  1323586    1687023       217
   137320    1323586       217
   114669     367160r       29
   114669     171079r       28
   382267     723759        34
   573751     926636        30
   573751    1690388r       30
   573751    1157183r       30
   573751    1037145r       30
   126652     573751        30
   470578     926636        27
   470578    1690388r       27
   470578    1157183r       27
   470578    1037145r       27
   126652     470578        27
  1882594    1926194r       36
  1072014    1882594        36
  1882594    1971799        36
  1750541    1882594        36
   697801    1882594        36
  1485005    1498927r       29
  1485005    1926194r       29
  1072014    1485005        29
  1485005    1971799        29
  1485005    1750541        29
   697801    1485005        29
   118799    1188579r       32
  1119773    1742154        32
  1119773    1262568        32
   118799    1119773        32
   398982     714004r       27
   517331     714004r       27
   143992     714004r       27
    67079     846444r       46
    67079    1326411        46
  1291962    1322276        45
    99814    1322276        45
   681390    1291962        45
   681390     730174r       45
    99814     681390        45
    99814     134283r       44
  1293078    1854676       102
   478944    1293078        54
   114638    1327910r       36
   922738    1040994r       43
  1058551    1705511        43
  1058551    1679376        43
   922738    1058551        43
  1230916    1991753r       41
   822635    1135677        69
   147097     325615r       52
   147097     578984        52
  1531444    1632586r       80
   438348    1632586r       80
   211380    1632586r       80
  1531444    1778398r       80
   438348    1778398r       80
   211380    1778398r       80
   137160     501607r      623
   978579    1052924r       58
    46592    1052924r       58
  1185509    1239111r       56
  1185509    1684106r       56
   978579    1185509        56
    46592    1185509        56
    46592      95426r       56
   734562    1239111r       56
   734562    1684106r       56
   734562     978579        56
   734562     778084r       56
    46592     734562        56
    46592     678435r       56
   137160    1239111r       56
   137160    1684106r       56
   137160     978579        56
   137160     778084r       56
    46592     137160        56
  1648985    1778398r       47
  1185509    1648985        37
   734562    1648985        37
   137160    1648985        37
   978579    1632586r       37
    46592    1632586r       37
   978579    1778398r       37
    46592    1778398r       37
  1185509    1289010r       37
   734562    1289010r       37
   137160    1289010r       37
  1185509    1727525r       37
   734562    1727525r       37
   137160    1727525r       37
  1185509    1847621r       37
   734562    1847621r       37
   137160    1847621r       37
  1185509    1942216r       37
   734562    1942216r       37
   137160    1942216r       37
  1185509    1531444        37
   734562    1531444        37
   137160    1531444        37
   438348    1185509        37
   438348     734562        37
   438348     678435r       37
   137160     438348        37
   438348    1052924r       37
   211380    1185509        37
   211380     734562        37
   211380     678435r       37
   137160     211380        37
   211380    1052924r       37
  1257436    1784332       115
   412529    1257436       115
  1851692    1946298        38
   504129    1851692        38
   214136    1851692        38
  1731607    1851692        38
    97948    1851692        38
  1448168    1934431        30
   347137    1448168        30
  1448168    1553050r       30
  1448168    1678192r       30
  1448168    1476800r       30
  1448168    1699680        30
  1448168    1508219        30
   415430    1448168        30
  1448168    1961147r       30
   365729    1448168        30
   169675    1448168        30
   640265     983871r       27
   413467    1060695r       41
   363766    1060695r       41
  1040246    1060695r       41
   184323    1060695r       41
  1160249    1693490        27
  1579946    1933836r      112
   922124    1579946        99
   116656    1579946        99
  1553645    1933836r       60
   922124    1553645        60
   116656    1553645        60
  1446805    1933836r       60
   922124    1446805        60
   116656    1446805        60
   692116    1553645        56
   692116    1446805        56
   692116    1579946        56
  1553645    1699085r       56
  1446805    1699085r       56
  1579946    1699085r       56
  1553645    1961742        56
  1446805    1961742        56
  1579946    1961742        56
   569360    1553645        56
   569360    1446805        56
   569360    1579946        56
   172731    1553645        56
   172731    1446805        56
   172731    1579946        56
   348597    1054831r       45
  1355189    1474136r       42
   348597    1474136r       42
  1056329    1475796       134
   690518    1475796       134
  1475796    1677162       106
   920500    1475796        75
  1475796    1960117        75
   567736    1475796        75
  1475796    1703311        57
   115070    1475796        57
   901878    1134966        38
  1786302    1844776        28
    94266     439647r       44
   245386     783815r       91
   192142    1293772        74
   192142    1637148        74
   192142     204246r       74
   192142     431956r       74
   192142     507181        74
   192142    1180271r       74
   192142     216852        74
  1293772    1467471        57
  1467471    1637148        57
   507181    1467471        57
   216852    1467471        57
  1467471    1524646r       50
  1467471    1949014        50
  1467471    1735283        50
   101623    1467471        50
   101623     131257r       50
   192142    1524646r       50
   192142    1949014        50
   192142    1735283        50
   192142     728365r       50
   101623     192142        50
  1293772    1855370        32
  1637148    1855370        32
   507181    1855370        32
   216852    1855370        32
  1855370    1949014        32
  1735283    1855370        32
   101623    1855370        32
   713195    1320990r       31
   713195    1634704r       31
   713195    1946443r       31
   713195    1527217        31
   713195    1731752r       31
   713195    1182842        31
   713195     731895        31
   207153     713195        31
   409141    2008127        65
   226027    1267099r      105
  1204804    1267099r       73
   639774    1254128        78
  1254128    1267240        54
  1254128    1556453r       54
  1254128    1775012        54
  1254128    1496026r       54
  1254128    1798160r       54
  1254128    1841468r       54
  1204804    1254128        54
  1254128    1503986r       54
  1254128    1440468r       54
   226027    1254128        54
   639774    1267099r       54
  1254128    1801099        49
   477751    1254128        40
   477751    1267099r       40
   408707    1254128        40
   408707    1267099r       40
  1254128    1844448r       35
  1254128    1806812        35
  1125533    1254128        35
  1125533    1267099r       35
   844482    1254128        34
   844482    1267099r       34
  1254128    1327816r       32
   829737    1254128        31
   829737    1267099r       31
   581034    1254128        31
   581034    1267099r       31
    39942    1254128        31
    39942    1267099r       31
   246915    1254128        30
   246915    1267099r       30
   409141     999576        56
   118148    1240903        35
   118148    1693854r       35
   118148     465894        35
  1647166    1682293r       87
  1504189    1682293r       87
  1162527    1203754r       39
  1305579    1502964r       69
   504375     713092r       46
   214382     713092r       46
    98194     713092r       46
   545948    1958153        49
   545948    1473812        49
   545948    1166987r       34
  1867386    1958153        34
  1473812    1867386        34
   545948    1867386        34
   846374     892623r       43
   246536     892623r       43
   156239     892623r       43
   846374    1215211r       30
   246536    1215211r       30
   156239    1215211r       30
   997757    1215211r       27
   116549     346648r      271
   116549     922017       271
   116549    1933943r      206
   116549     692009       163
   116549    1699192r      163
   116549    1961635       163
   116549     569253       163
   116549     365242r      163
   116549     414943r      163
   116549     172624       163
   116549    1477288       132
   116549    1579839        71
   116549    1553538        71
   116549     169187r       71
   116549    1507731r       71
   116549    1057821        71
   116549    1446698        51
   116549    1121324r       33
   116549     185795r       33
   116549    1041718r       33
  1446698    1704790        33
  1579839    1704790        33
  1553538    1704790        33
  1057821    1704790        33
  1477288    1704790        33
   692009    1704790        33
  1704790    1961635        33
   569253    1704790        33
   172624    1704790        33
  1704790    1933943r       33
   922017    1704790        33
  1446698    1678655        33
  1579839    1678655        33
  1553538    1678655        33
  1057821    1678655        33
  1477288    1678655        33
   692009    1678655        33
  1678655    1699192r       33
  1678655    1961635        33
   569253    1678655        33
   172624    1678655        33
  1678655    1933943r       33
   922017    1678655        33
  1496308    1885842r       27
   784843    1496308        27
   492490    1496308        27
   225284     497367r      102
   225284    1557725        37
  1557725    1998471        30
   577315    1074326       575
  1074326    1496609r      302
   244057    1074326       274
  1074326    1724164       222
  1074326    1752842       222
   473918    1074326       222
   291949    1074326       222
   291949     327284r      181
   244057     327284r      181
   473918    1030690r      181
   291949    1030690r      181
   577315    1030690r      181
   244057    1030690r      181
   473918    1150728r      181
